Ref,r1,B0,Temp,Material,Difffrom37,diff,r1_tempcorrect
Matsumoto 2006,2.17,4.7,37,Saline,0,0,2.17
Zaharchuk 2005,2.7,1.5,37,Saline,0,0,2.7
d’Othée 2003,1.38,8.45,21,Saline,16,0.88,1.40816
d’Othée 2003,1.89,1.5,21,Saline,16,0.88,1.91816
Kramer 2013,2.82,1.5,37,Saline,0,0,2.82
Kramer 2013,2.21,3,37,Saline,0,0,2.21
Simpson 2013,3.6,1.5,35,Saline,2,0.11,3.60352
Pilkinton 2012,1.61,3,37,Water,0,0,1.61
Vatnehol 2020,1.9,3,22,Water,15,0.825,1.9264
Zaharchuk 2006,2.49,1.5,37,Water,0,0,2.49
Nestle 2003,4.2,0.5,22,Water,15,0.825,4.2264
Hauser and Noack,3.72,0.63,22,Water,15,0.825,3.7464
Muir 2013,2.04,3,34,Water,3,0.165,2.04528
Muir 2013,2.05,3,37,Water,0,0,2.05
Muir 2013,2.11,3,40,Water,-3,-0.165,2.10472
Simpson 2013,3.47,1.5,35,Vitreous fluid,2,0.11,3.47352
d’Othée 2003,1.11,8.45,21,Plasma,16,0.88,1.13816
Hueckel 2000,3.38,1.5,37,Plasma,0,0,3.38
Graf 1980,6.6,0.011,25,Water,12,0.66,6.62112
Graf 1980,6.6,0.031,25,Water,12,0.66,6.62112
Graf 1980,6.23,0.051,25,Water,12,0.66,6.25112
Graf 1980,6.6,0.137,25,Water,12,0.66,6.62112
Graf 1980,6.13,0.259,25,Water,12,0.66,6.15112
Graf 1980,5.18,0.525,25,Water,12,0.66,5.20112
Graf 1980,3.68,0.713,25,Water,12,0.66,3.70112
Graf 1980,3.89,1.159,25,Water,12,0.66,3.91112
Graf 1980,2.74,2.139,25,Water,12,0.66,2.76112
Graf 1980,2.51,4.387,25,Water,12,0.66,2.53112